id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
546,"Abad, Maximiliano",Buenos Aires,Juntos por el Cambio,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/546.gif,maximiliano.abad@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Primera Minoría,0,8,0.0,14,75,97,49.44
545,"De Pedro, Eduardo Enrique",Buenos Aires,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/545.gif,eduardo.depedro@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,0,0.0,71,25,97,53.89
517,"Di Tullio, Juliana",Buenos Aires,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}","Di Tullio, Juliana",,https://api.argentinadatos.com/static/senado/senadores/517.gif,juliana.ditullio@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,2,0.0,69,25,97,52.78
519,"Andrada, Guillermo Eduardo",Catamarca,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/519.gif,guillermo.andrada@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,2,0.0,50,44,97,52.78
398,"Corpacci, Lucía Benigna",Catamarca,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/398.gif,lucia.corpacci@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,0,0,,0,0,0,0.0
520,"Fama, Flavio Sergio",Catamarca,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/520.gif,flavio.fama@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Primera Minoría,0,11,0.0,2,84,97,47.78
285,"Capitanich, Jorge Milton",Chaco,Fuerza Patria,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/285.gif,jorge.capitanich@senado.gob.ar,(+54 11) 28223000,,Fuerza Patria,Primera Minoría,1,0,0.0,69,27,97,53.89
578,"Godoy, Juan Cruz",Chaco,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/578.gif,juancruz.godoy@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,5,91,97,53.89
579,"Schneider, Silvana Lorena",Chaco,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/579.gif,silvana.schneider@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,4,92,97,53.89
570,"Cristina, Andrea Marcela",Chubut,Juntos por el Cambio Chubut,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/570.gif,andrea.cristina@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,24,0.0,11,62,97,40.56
