id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
546,"Abad, Maximiliano",Buenos Aires,Juntos por el Cambio,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/546.gif,maximiliano.abad@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,8,0.0,12,65,85,49.36
545,"De Pedro, Eduardo Enrique",Buenos Aires,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/545.gif,,,,Unión por la Patria,Primera Minoría,1,0,0.0,64,20,85,54.49
519,"Andrada, Guillermo Eduardo",Catamarca,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/519.gif,guillermo.andrada@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,2,0.0,44,38,85,53.21
398,"Corpacci, Lucía Benigna",Catamarca,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/398.gif,lucia.corpacci@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,0,0,,0,0,0,0.0
520,"Fama, Flavio Sergio",Catamarca,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/520.gif,flavio.fama@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Primera Minoría,0,1,0.0,2,82,85,53.85
578,"Godoy, Juan Cruz",Chaco,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,juancruz.godoy@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,4,80,85,54.49
579,"Schneider, Silvana Lorena",Chaco,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,silvana.schneider@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,3,81,85,54.49
570,"Cristina, Andrea Marcela",Chubut,Juntos por el Cambio Chubut,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/570.gif,andrea.cristina@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,18,0.0,10,57,85,42.95
528,"Terenzi, Edith Elizabeth",Chubut,Juntos por el Cambio Chubut,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/528.gif,edith.terenzi@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,13,0.0,10,62,85,46.15
529,"Linares, Carlos Alberto",Chubut,Frente de Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/529.gif,carlos.linares@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,1,4,0.0,62,18,85,51.92
580,"Bullrich, Patricia",Ciudad Autónoma de Buenos Aires,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,patricia.bullrich@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,2,0,0.0,3,80,85,54.49
581,"Monteverde, Agustín Aníbal",Ciudad Autónoma de Buenos Aires,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,agustin.monteverde@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,4,80,85,54.49
461,"Espínola, Carlos Mauricio",Corrientes,Frente Todos,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/461.gif,carlos.espinola@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Primera Minoría,0,0,0.0,2,83,85,54.49
525,"Valenzuela, Mercedes Gabriela",Corrientes,Eco + Vamos Corrientes,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/525.gif,mercedes.valenzuela@senado.gob.ar,(+54 11) 28223000,,Eco + Vamos Corrientes,Mayoría,0,0,0.0,3,82,85,54.49
524,"Vischi, Eduardo Alejandro",Corrientes,Eco + Vamos Corrientes,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/524.gif,eduardo.vischi@senado.gob.ar,(+54 11) 28223000,,Eco + Vamos Corrientes,Mayoría,0,0,0.0,3,82,85,54.49
522,"Alvarez Rivero, Carmen",Córdoba,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/522.gif,carmen.alvarez@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,0,,0,0,0,0.0
400,"Juez, Luis Alfredo",Córdoba,Juntos por el Cambio,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/400.gif,luis.juez@senado.gob.ar,(+54 11) 28223000,,Unión Cívica Radical,Mayoría,0,9,0.0,3,73,85,48.72
523,"Vigo, Alejandra María",Córdoba,Hacemos por Córdoba,"{'inicio': '2021-12-10', 'fin': '2027-12-09'}","{'inicio': '2021-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/523.gif,alejandra.vigo@senado.gob.ar,(+54 11) 28223000,,Hacemos por Córdoba,Primera Minoría,16,13,0.0,13,43,85,46.15
583,"Almeida, Romina María",Entre Ríos,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,romina.almeida@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,4,80,85,54.49
584,"Bahl, Adán Humberto",Entre Ríos,Fuerza Entre Ríos,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,adan.bahl@senado.gob.ar,(+54 11) 28223000,,Fuerza Entre Ríos,Primera Minoría,1,8,0.0,58,18,85,49.36
582,"Benegas Lynch, Joaquín Alberto",Entre Ríos,Alianza la Libertad Avanza,"{'inicio': '2025-12-10', 'fin': '2031-12-09'}","{'inicio': '2025-12-10', 'fin': None}",,,,joaquin.benegaslynch@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Mayoría,1,0,0.0,4,80,85,54.49
477,"González, María Teresa Margarita",Formosa,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/477.gif,maria.gonzalez@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,0,0.0,61,23,85,54.49
294,"Mayans, José Miguel Ángel",Formosa,Alianza Unión por la Patria,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/294.gif,mayans@senado.gob.ar,(+54 11) 28223000,,Unión por la Patria,Mayoría,1,0,0.0,62,22,85,54.49
551,"Paoltroni, Francisco Manuel",Formosa,Alianza la Libertad Avanza,"{'inicio': '2023-12-10', 'fin': '2029-12-09'}","{'inicio': '2023-12-10', 'fin': None}",,,https://api.argentinadatos.com/static/senado/senadores/551.gif,francisco.paoltroni@senado.gob.ar,(+54 11) 28223000,,La Libertad Avanza,Primera Minoría,1,0,0.0,3,81,85,54.49
