fecha,valor_modulo,dieta_base_bruto,bruto_con_aumento,fuente
2026-07-07 11:44,2554.849933,6387124.83,10219399.73,verificacion
2026-07-07 13:25,2554.849933,6387124.83,10219399.73,verificacion
2026-07-07 14:24,2554.849933,6387124.83,10219399.73,verificacion
2026-07-08 12:50,2554.849933,6387124.83,10219399.73,verificacion
2026-07-09 13:57,2554.849933,6387124.83,10219399.73,verificacion
2026-07-10 13:18,2554.849933,6387124.83,10219399.73,verificacion
2026-07-11 12:03,2554.849933,6387124.83,10219399.73,verificacion
2026-07-13 13:29,2554.849933,6387124.83,10219399.73,verificacion
2026-07-14 12:38,2554.849933,6387124.83,10219399.73,verificacion
2026-07-15 12:41,2554.849933,6387124.83,10219399.73,verificacion
2026-07-16 12:48,2554.849933,6387124.83,10219399.73,verificacion
2026-07-17 12:20,2554.849933,6387124.83,10219399.73,verificacion
2026-07-18 12:02,2554.849933,6387124.83,10219399.73,verificacion
2026-07-20 13:16,2554.849933,6387124.83,10219399.73,verificacion
2026-07-21 12:43,2554.849933,6387124.83,10219399.73,verificacion
2026-07-22 12:45,2554.849933,6387124.83,10219399.73,verificacion
2026-07-23 12:47,2554.849933,6387124.83,10219399.73,verificacion
2026-07-24 12:43,2554.849933,6387124.83,10219399.73,verificacion
2026-07-25 12:08,2554.849933,6387124.83,10219399.73,verificacion
2026-07-27 13:44,2554.849933,6387124.83,10219399.73,verificacion
2026-07-28 13:01,2554.849933,6387124.83,10219399.73,verificacion
2026-07-29 13:06,2554.849933,6387124.83,10219399.73,verificacion
2026-07-30 12:53,2554.849933,6387124.83,10219399.73,verificacion
